id,valor,categoria
271,0.7732,B
272,-1.4762,B
273,0.7814,A
274,-0.2963,B
275,0.0419,A
276,0.131,C
277,0.7486,A
278,-1.5494,B
279,-0.8198,A
280,-0.0188,C
281,0.0701,B
282,0.9638,B
283,-0.5567,C
284,-2.1181,B
285,0.1078,A
286,0.0694,C
287,2.3556,B
288,0.9683,A
289,-0.6639,B
290,1.1554,C
291,-0.1644,C
292,-0.7654,A
293,-1.0212,B
294,0.5427,C
295,-0.058,A
296,0.8378,B
297,0.5235,B
298,2.4905,B
299,-1.1325,C
300,0.882,A
301,-2.305,C
302,0.4075,B
303,-2.3146,B
304,-0.6298,A
305,-1.0185,B
306,-0.1204,C
307,-1.4588,A
308,-0.2008,A
309,0.8746,A
310,0.3093,A
311,0.3554,B
312,1.7174,A
313,0.8739,A
314,-0.5512,C
315,-0.4312,C
316,-0.6892,B
317,-1.1685,C
318,-1.0836,A
319,0.1403,A
320,-0.4751,A
321,-1.0556,C
322,-1.063,B
323,0.342,C
324,-0.2228,B
325,-1.0775,B
326,1.2532,B
327,-1.7886,B
328,-1.1068,C
329,-0.9535,B
330,-0.8357,B
331,0.554,A
332,-0.9957,B
333,3.9676,B
334,-1.17,A
335,-0.1564,A
336,-1.1599,A
337,1.2217,B
338,1.1519,C
339,1.71,A
340,-0.2931,A
341,-0.4031,A
342,-2.7431,C
343,0.7443,C
344,-1.0392,B
345,-0.3811,C
346,-0.9303,B
347,-0.525,A
348,-0.6106,C
349,0.5936,C
350,-0.4276,A
351,-1.2418,A
352,-0.5418,C
353,-0.1175,C
354,1.5099,A
355,0.2488,B
356,0.1398,C
357,-1.6821,C
358,0.334,C
359,0.5976,C
360,0.8745,C
361,1.839,B
362,-0.4671,A
363,-0.0154,C
364,2.172,A
365,0.1655,B
366,0.0508,A
367,-0.3067,A
368,-0.199,A
369,-0.8873,B
370,0.5316,C
371,-0.6207,B
372,1.3016,C
373,-1.0536,B
374,1.2346,C
375,2.0893,C
376,-2.7101,B
377,-0.583,A
378,0.5549,B
379,-0.7842,B
380,0.5433,B
381,-1.2963,B
382,2.7003,C
383,1.2972,B
384,2.2639,A
385,2.0642,C
386,0.4819,A
387,-0.6935,B
388,-0.5351,B
389,0.7238,B
390,-0.0358,C
391,-0.4991,C
392,1.2779,C
393,0.16,C
394,0.8673,B
395,-1.1839,B
396,0.0599,A
397,0.7867,C
398,1.0177,C
399,-0.6133,C
400,-0.4021,A
401,0.0781,B
402,0.0511,C
403,2.2045,C
404,0.9854,A
405,-2.1303,B
406,0.9864,B
407,-1.9702,B
408,1.2789,C
409,1.069,A
410,1.5337,C
411,1.8088,A
412,0.9381,C
413,0.5206,A
414,1.9115,B
415,0.1851,B
416,-1.3354,B
417,-1.9716,A
418,-1.3017,C
419,0.0155,C
420,0.9119,A
421,0.6382,B
422,0.5981,B
423,-0.5932,B
424,0.3088,B
425,0.2577,A
426,0.1564,A
427,0.8676,A
428,0.1174,C
429,0.8533,A
430,-0.1107,A
431,-0.6512,A
432,1.2863,A
433,-0.1376,A
434,-0.0417,A
435,0.613,B
436,0.9948,B
437,0.548,B
438,0.4747,B
439,-0.1221,A
440,-0.2691,A
441,1.7648,C
442,-2.3333,A
443,0.447,C
444,-0.1179,C
445,-0.9383,A
446,0.574,A
447,-0.1174,B
448,-0.0676,B
449,-0.7213,B
450,-0.6435,B
451,-0.6173,A
452,-0.5188,C
453,0.7738,A
454,1.202,C
455,0.3145,A
456,-0.3552,C
457,-0.5051,B
458,-0.5989,C
459,0.5099,A
460,-0.159,A
461,-0.3095,B
462,0.123,C
463,-0.3488,B
464,1.325,C
465,-0.3821,A
466,-0.6521,C
467,-0.8548,A
468,-0.6563,C
469,-0.1561,A
470,1.0945,A
471,-1.3774,A
472,1.7763,B
473,0.1026,B
474,-0.1162,B
475,0.4927,B
476,-0.9185,B
477,-1.1738,C
478,-2.4241,C
479,0.5288,C
480,1.0793,A
481,1.3292,C
482,-0.7506,A
483,-2.0002,B
484,-0.5925,A
485,0.8937,B
486,-0.5658,A
487,-0.7356,A
488,-0.6951,C
489,1.1757,C
490,-0.7158,A
491,0.9985,A
492,-0.3845,C
493,-0.2535,B
494,-0.4098,A
495,-1.7914,C
496,-0.4971,C
497,-1.3101,A
498,-0.3572,A
499,0.3656,B
500,0.3625,A
501,0.4027,B
502,1.3136,B
503,-1.9075,C
504,0.701,A
505,-1.3061,A
506,-0.2114,B
507,-0.3027,B
508,0.5421,B
509,-1.3925,C
510,-0.7859,B
511,-1.2288,A
512,0.1948,C
513,0.1037,B
514,0.7305,A
515,-0.232,B
516,-0.7636,C
517,-0.1445,B
518,-0.3947,A
519,-0.0096,B
520,1.371,C
521,0.8459,A
522,-0.8194,B
523,0.5795,B
524,2.1234,A
525,-2.2816,B
526,1.1745,B
527,0.1331,C
528,-0.314,C
529,-1.2347,C
530,1.1036,B
531,-1.4269,B
532,-0.4103,A
533,1.2983,A
534,0.2651,A
535,1.1505,B
536,-0.6216,C
537,-0.9317,B
538,-1.7347,C
539,-1.866,B
540,1.0942,A
541,-0.6892,B
542,0.7498,B
543,2.4648,A
544,-1.9521,C
545,0.7635,B
546,0.765,B
547,-0.5128,B
548,0.0568,A
549,0.5521,C
550,0.5629,A
551,-1.0993,B
552,-0.0723,C
553,-0.255,C
554,0.2943,A
555,-1.4882,B
556,0.3777,A
557,0.8879,A
558,0.5672,C
559,-1.9775,C
560,-0.4216,A
561,1.4012,C
562,-0.0811,C
563,-2.3737,B
564,-0.0866,A
565,0.0127,B
566,-0.3518,A
567,-0.0022,B
568,-1.1185,B
569,0.31,B
570,-1.2339,B
571,-1.1572,C
572,0.5485,B
573,-1.8238,B
574,-0.6772,C
575,-1.7068,B
576,-3.0852,B
577,0.0543,C
578,-0.7171,C
579,-0.6872,C
580,-0.7746,C
581,0.8923,A
582,0.0432,C
583,-0.6673,B
584,0.6769,A
585,0.4688,C
586,-0.8493,A
587,1.1236,A
588,-0.1414,C
589,0.0078,C
590,0.6726,C
591,1.3247,A
592,0.9277,B
593,0.4904,A
594,-2.0766,A
595,0.776,A
596,0.7656,B
597,0.9428,B
598,1.9428,B
599,-0.4349,A
600,0.9872,C
601,1.905,B
602,0.2482,B
603,0.1281,A
604,0.8699,C
605,-0.2138,A
606,0.2763,C
607,-0.1792,B
608,-0.1013,B
609,0.6475,C
610,-0.5601,C
611,-0.0896,B
612,2.3907,C
613,-0.6447,C
614,0.019,A
615,0.3828,B
616,-1.1509,A
617,-0.6745,B
618,-0.0364,B
619,0.0912,B
620,-0.8387,B
621,-0.1725,C
622,-1.788,A
623,0.7116,C
624,-0.1565,A
625,-0.0141,B
626,-0.9989,B
627,-1.4411,B
628,1.6073,A
629,0.8884,C
630,2.7104,A
631,1.4297,C
632,1.4481,B
633,1.1884,C
634,-0.846,A
635,0.2449,A
636,0.4895,C
637,0.2906,A
638,-0.5016,C
639,0.2963,B
640,0.1649,C
641,-2.4403,C
642,1.4782,C
643,-1.4723,A
644,-1.0134,C
645,1.5657,B
646,1.1956,C
647,1.2447,A
648,2.522,A
649,0.6218,C
650,-0.0933,B
651,-1.2645,A
652,-2.2381,A
653,-0.1078,C
654,-0.8934,B
655,-1.844,C
656,1.9559,A
657,-1.8736,A
658,0.6288,C
659,0.1586,A
660,1.2449,C
661,-0.1943,A
662,1.9273,C
663,0.032,A
664,-0.3983,A
665,0.634,C
666,-2.2118,C
667,0.098,C
668,0.0703,A
669,-0.0428,C
670,-0.9608,A
671,0.1443,C
672,1.039,B
673,-0.8335,A
674,-1.2209,B
675,1.1407,A
676,-2.1344,B
677,0.8362,B
678,-2.0576,C
679,0.1811,B
680,-1.0064,C
681,0.3686,C
682,-0.8195,A
683,0.557,B
684,0.4299,A
685,1.7023,C
686,-1.3305,B
687,1.6607,C
688,0.003,A
689,0.1159,B
690,2.8067,B
691,0.5256,A
692,1.4409,C
693,-0.0644,B
694,-1.6339,B
695,-0.5096,C
696,0.3823,B
697,-1.8333,A
698,-0.4908,A
699,-0.9883,B
700,0.7428,B
701,-0.6586,C
702,0.7674,B
703,-1.3262,A
704,2.6085,B
705,1.2874,C
706,-0.619,A
707,0.7271,A
708,-0.2598,B
709,1.3428,A
710,-0.936,B
711,-0.6309,C
712,-0.0103,C
713,0.8937,A
714,0.147,B
715,0.7641,B
716,-0.7401,C
717,-0.5336,C
718,0.4881,C
719,0.3469,C
720,0.575,A
721,0.3441,A
722,-0.1083,C
723,0.8631,C
724,2.1091,A
725,-0.5638,C
726,0.7331,C
727,-2.8646,B
728,-0.1716,B
729,0.6864,A
730,0.3241,C
731,-1.3678,A
732,0.1091,B
733,0.1726,A
734,-0.0621,B
735,-2.097,B
736,1.3658,B
737,-1.5446,C
738,-0.1616,B
739,1.5251,C
740,-0.513,A
741,0.848,C
742,0.5797,A
743,-0.4954,C
744,-0.6169,C
745,1.5293,C
746,0.176,B
747,0.7709,A
748,1.6368,C
749,-0.8941,B
750,1.0136,B
751,-0.3893,A
752,-0.9976,C
753,0.9484,B
754,-0.1433,B
755,0.5304,A
756,-0.1506,A
757,0.1145,A
758,-0.8647,C
759,-2.0425,C
760,-1.2854,B
761,0.8094,A
762,-2.0313,C
763,1.5629,A
764,-0.5243,A
765,1.5959,C
766,1.14,A
767,0.0749,A
768,0.7752,A
769,2.4587,C
770,-0.3339,B
771,0.2492,A
772,1.1389,B
773,0.0624,C
774,-0.1451,A
775,0.636,A
776,0.4384,A
777,-0.492,C
778,0.037,B
779,-0.5845,C
780,-0.7141,C
781,-0.3237,C
782,0.7591,C
783,0.2142,A
784,3.0881,B
785,-0.6925,B
786,1.0122,A
787,-0.5538,B
788,-1.2614,A
789,-0.8864,C
790,0.559,B
791,0.6807,A
792,0.4303,B
793,-1.801,B
794,0.7644,A
795,0.2529,A
796,1.4266,C
797,1.3923,C
798,-0.5748,B
799,0.6802,A
800,1.0155,A
801,0.4973,B
802,0.4324,B
803,0.5229,A
804,0.6416,C
805,-1.6652,A
806,-1.057,C
807,0.8543,A
808,1.0576,B
809,0.834,B
810,-0.1776,C
811,-0.2456,A
812,0.8326,C
813,1.5416,A
814,-1.0507,A
815,-0.0636,B
816,0.2772,B
817,0.5735,C
818,1.2944,B
819,0.4355,A
820,-0.2967,B
821,-0.3461,C
822,0.1586,C
823,-1.0807,B
824,0.7058,B
825,0.7247,A
826,-0.384,A
827,0.9423,A
828,-0.9661,B
829,-0.9612,C
830,0.6585,B
831,-1.5032,B
832,0.4904,C
833,-0.3838,B
834,0.6749,B
835,-0.2142,B
836,0.7261,C
837,0.3801,C
838,0.0565,C
839,-0.1927,C
840,-0.0077,C
841,-0.8106,C
842,-0.4557,C
843,0.5481,A
844,0.2106,A
845,1.0976,C
846,-0.1122,B
847,1.6409,C
848,-0.2609,B
849,-1.0427,A
850,-1.5924,C
851,-1.3101,C
852,-0.4238,A
853,-0.9231,A
854,0.2662,C
855,0.202,B
856,0.8263,B
857,2.0207,B
858,0.2527,A
859,0.7806,C
860,0.0811,A
861,0.3467,A
862,0.0738,B
863,0.2808,B
864,0.2129,B
865,1.191,C
866,-0.3123,A
867,-1.1248,B
868,1.0895,C
869,-0.0388,C
870,-0.2595,B
871,-0.1765,A
872,-0.2067,A
873,1.3067,B
874,-1.1149,C
875,-0.1866,B
876,-0.9818,B
877,-1.5594,B
878,0.1321,A
879,-0.7681,A
880,0.4189,C
881,0.3346,C
882,0.807,B
883,-0.8998,B
884,-1.0526,B
885,-0.3432,C
886,-1.403,C
887,0.3597,A
888,-0.1372,A
889,1.344,C
890,0.0218,C
891,-0.5898,B
892,-0.2402,C
893,-1.2445,B
894,-0.8055,C
895,0.5948,B
896,-0.1089,A
897,-0.9815,C
898,0.2061,A
899,-1.1091,B
900,0.6102,B
901,-1.0229,A
902,0.2346,A
903,-0.108,C
904,0.6734,B
905,-0.1934,A
906,-0.7184,A
907,1.281,C
908,0.2982,C
909,1.9424,A
910,-0.1811,B
911,-1.3641,A
912,0.4887,A
913,-0.4445,B
914,-1.2699,B
915,-0.9516,C
916,0.6138,C
917,0.0987,A
918,0.0246,A
919,-0.5603,B
920,0.2857,A
921,-2.3624,B
922,1.0007,C
923,-0.8173,C
924,2.0246,C
925,1.2649,B
926,1.3787,A
927,-0.3333,A
928,0.221,B
929,1.6411,B
930,0.7627,B
931,-0.1399,B
932,0.5219,B
933,2.1116,C
934,1.9237,C
935,0.3362,B
936,0.0484,A
937,0.2186,B
938,-0.2451,B
939,-0.2009,A
940,-0.0228,B
941,1.8435,B
942,0.2521,C
943,-1.5318,B
944,0.2795,C
945,0.3187,C
946,1.2485,C
947,0.2173,A
948,0.105,C
949,-0.6909,B
950,-0.2743,C
951,-1.4572,A
952,0.3627,B
953,-1.3788,A
954,2.5081,C
955,-0.9338,C
956,-0.7618,A
957,-0.6375,B
958,-0.9639,C
959,-1.1083,C
960,-0.2367,B
961,-0.3602,A
962,1.0736,A
963,-0.3286,A
964,0.6497,A
965,1.6484,C
966,0.7334,B
967,-0.7877,C
968,2.2694,A
969,2.9772,B
970,1.608,A
971,-0.6574,C
972,0.9265,B
973,-0.1302,A
974,-0.54,A
975,0.0684,A
976,-0.2829,A
977,2.4885,B
978,-0.7621,A
979,1.9388,A
980,-1.0685,B
981,-0.29,A
982,1.6101,B
983,-0.7795,A
984,-1.0441,B
985,0.7331,C
986,1.8778,C
987,1.054,C
988,0.0728,A
989,-0.1935,A
990,1.0271,C
991,-0.0363,A
992,2.6409,A
993,-0.9686,A
994,0.3757,B
995,0.4443,C
996,1.0448,B
997,0.1381,C
998,0.1101,A
999,-0.6636,C
1000,1.0101,B
1001,-0.4095,B
1002,1.1899,B
1003,0.6409,C
1004,-1.4757,A
1005,0.4442,A
1006,1.262,A
1007,-0.0773,A
1008,-1.1501,C
1009,-0.1834,A
1010,0.8074,B
1011,1.177,A
1012,0.3416,A
1013,-1.9773,C
1014,1.6008,B
1015,3.3309,B
1016,-0.7302,C
1017,-0.1539,B
1018,-0.9849,A
1019,-0.1474,A
1020,-0.6932,A
1021,-1.3416,A
1022,-0.8434,A
1023,1.3126,C
1024,-0.465,C
1025,-2.0659,C
1026,-0.8293,C
1027,1.4239,B
1028,-1.3316,A
1029,-0.0514,C
1030,0.3535,C
1031,0.2004,A
1032,-0.6896,C
1033,-0.9187,B
1034,-0.9975,C
1035,0.4051,C
1036,0.6595,C
1037,0.0102,B
1038,0.2713,A
1039,-0.302,A
1040,-0.5976,A
1041,-0.9824,A
1042,0.0235,C
1043,-1.0175,C
1044,0.3155,B
1045,0.1482,C
1046,-2.3588,A
1047,0.3243,A
1048,-1.1063,A
1049,-0.3906,B
1050,-0.3759,B
1051,-0.428,C
1052,-1.4717,C
1053,-1.4108,A
1054,0.8623,A
1055,-0.6252,A
1056,0.6657,C
1057,-1.1747,A
1058,-0.1845,A
1059,-1.4296,B
1060,-1.2709,A
1061,0.9509,C
1062,0.0871,B
1063,0.2304,B
1064,-1.0176,B
1065,1.3593,B
1066,0.3516,C
1067,-0.0918,C
1068,-1.7377,A
1069,2.2198,C
1070,-0.3674,B
1071,-1.1938,B
1072,-0.6531,A
1073,-1.4694,A
1074,-0.3565,C
1075,-1.2155,A
1076,0.2604,A
1077,-1.0202,A
1078,-0.2696,C
1079,0.04,C
1080,0.3296,A
1081,1.0366,B
1082,-0.6341,B
1083,-1.9744,C
1084,0.1818,A
1085,-1.7418,B
1086,0.6799,A
1087,0.6684,B
1088,-0.597,A
1089,-0.5771,C
1090,1.0637,C
1091,0.913,A
1092,-0.5343,C
1093,0.5616,C
1094,0.8265,A
1095,-0.2853,C
1096,0.2304,B
1097,-0.8884,A
1098,2.1305,C
1099,0.1311,C
1100,1.5498,C
1101,0.2737,B
1102,-0.0767,C
1103,-1.3354,A
1104,0.1198,B
1105,0.8645,C
1106,1.9227,A
1107,0.0458,C
1108,-0.5697,C
1109,-0.5961,B
1110,0.9802,A
1111,0.7827,B
1112,0.838,B
1113,1.1528,A
1114,0.5672,C
1115,0.4058,A
1116,-0.763,A
1117,-1.0378,A
1118,0.2793,A
1119,-0.5878,B
1120,-0.0359,B
1121,1.624,B
1122,0.6516,B
1123,-0.7523,C
1124,-1.1558,A
1125,-0.3787,B
1126,1.0065,C
1127,1.6967,A
1128,1.3598,B
1129,0.7367,B
1130,0.0703,A
1131,1.0875,C
1132,-0.5201,B
1133,-0.3756,B
1134,0.9369,B
1135,0.4089,C
1136,0.2776,A
1137,0.122,C
1138,0.0796,C
1139,-0.4623,B
1140,-0.9148,C
1141,-0.8529,B
1142,-0.197,C
1143,-0.8214,B
1144,0.7771,B
1145,0.2192,B
1146,1.2705,C
1147,-1.1186,C
1148,-0.9429,C
1149,-0.7113,C
1150,0.8248,A
1151,0.7737,A
1152,-0.6964,B
1153,1.9533,B
1154,-0.5556,A
1155,-0.5028,C
1156,0.9008,B
1157,-1.3353,C
1158,-0.4805,A
1159,0.0071,A
1160,-0.6952,B
1161,-1.319,B
1162,0.0383,C
1163,0.0723,C
1164,0.0871,A
1165,-1.3693,B
1166,-0.4529,A
1167,-0.8105,A
1168,0.1064,C
1169,-0.8273,A
1170,0.2407,A
1171,0.253,C
1172,2.3211,C
1173,1.8747,A
1174,-1.3457,C
1175,0.9897,A
1176,-0.5463,C
1177,-0.0695,B
1178,-1.0949,A
1179,0.9604,A
1180,-0.4869,B
1181,0.3532,B
1182,0.1923,B
1183,0.012,A
1184,0.5343,B
1185,-0.3304,C
1186,0.7125,C
1187,0.2478,A
1188,-0.2705,B
1189,-0.282,C
1190,0.1801,B
1191,-0.4677,B
1192,1.3012,A
1193,1.0606,C
1194,-0.9299,C
1195,0.6734,C
1196,0.0518,C
1197,0.6136,C
1198,0.0467,C
1199,-0.8973,C
1200,-0.158,C
1201,-0.1349,A
1202,-1.5268,C
1203,-0.993,B
1204,1.8235,A
1205,-0.2413,B
1206,0.9977,A
1207,-0.7109,B
1208,-0.7199,A
1209,0.9735,A
1210,0.3056,C
1211,-0.4205,A
1212,0.1943,A
1213,1.3416,A
1214,-1.6902,C
1215,1.4756,C
1216,0.2835,A
1217,-0.5745,C
1218,0.3109,B
1219,1.6188,C
1220,0.4508,B
1221,0.2625,C
1222,-0.161,C
1223,-1.6623,A
1224,2.0324,B
1225,1.9204,A
1226,-0.6021,A
1227,1.8621,C
1228,-0.2496,A
1229,-1.3407,C
1230,0.7707,A
1231,-0.1157,A
1232,-0.1366,C
1233,-2.0189,C
1234,0.8964,A
1235,-0.8467,C
1236,0.5944,A
1237,-0.3077,A
1238,-1.3043,A
1239,0.8786,A
1240,0.4658,A
1241,0.3802,B
1242,0.0592,B
1243,0.9597,C
1244,-0.2612,C
1245,0.3434,C
1246,-0.1386,C
1247,-0.5851,C
1248,-0.4708,B
1249,0.6733,C
1250,-0.3604,A
1251,0.3938,B
1252,0.9281,A
1253,1.3683,A
1254,-1.0022,A
1255,-0.6843,B
1256,1.3416,B
1257,-0.7064,B
1258,1.3134,B
1259,-0.8615,A
1260,1.2957,A
1261,-0.9985,C
1262,0.517,C
1263,-1.1515,B
1264,0.675,B
1265,2.1031,A
1266,0.1037,B
1267,-1.4946,B
1268,0.4945,C
1269,-0.8992,C
1270,-0.5778,B
1271,0.1225,A
1272,1.448,A
1273,0.8185,B
1274,0.97,C
1275,0.789,C
1276,-1.1786,C
1277,0.5684,C
1278,-0.4561,A
1279,0.8928,A
1280,0.6791,B
1281,-0.6092,A
1282,-0.476,B
1283,-0.5471,A
1284,0.5827,C
1285,-0.0174,C
1286,-0.2312,B
1287,0.0029,B
1288,0.5329,A
1289,-0.2029,C
1290,0.6927,C
1291,0.3115,B
1292,0.869,C
1293,-1.0427,A
1294,-1.0175,C
1295,1.2635,B
1296,-0.468,C
1297,-0.0407,C
1298,0.0981,B
1299,0.3339,B
1300,-1.2662,A
1301,0.7014,A
1302,-1.7014,B
1303,-1.1784,C
1304,1.3496,C
1305,0.149,C
1306,-0.2182,B
1307,-0.5221,A
1308,0.079,C
1309,-0.6711,B
1310,-0.5563,C
1311,0.2109,C
1312,0.2496,A
1313,-0.4159,B
1314,1.797,B
1315,0.4094,C
1316,2.1569,A
1317,-1.7075,C
1318,-0.3697,A
1319,-1.8081,C
1320,0.5408,A
1321,0.4804,B
1322,1.9648,C
1323,-0.4498,C
1324,-0.0472,B
1325,1.4336,A
1326,1.389,A
1327,-1.055,C
1328,0.7892,B
1329,-0.3726,B
1330,0.4571,C
1331,0.6513,B
1332,-1.0578,A
1333,-0.595,B
1334,1.7911,A
1335,-0.2199,C
1336,-0.0924,A
1337,-1.4552,C
1338,0.4594,C
1339,0.0407,C
1340,0.8892,B
1341,-2.6042,B
1342,-0.904,A
1343,-0.9383,C
1344,-0.6609,B
1345,-0.8271,C
1346,1.2076,A
1347,0.5136,B
1348,-0.5931,C
1349,0.7464,B
1350,1.1815,A
1351,0.7159,B
1352,0.1986,B
1353,-0.0617,B
1354,0.5993,C
1355,0.606,B
1356,-1.9804,C
1357,-1.8563,A
1358,-0.7548,B
1359,0.0095,A
1360,1.1973,A
1361,-0.2329,A
1362,-0.1299,B
1363,0.4662,C
1364,1.0894,A
1365,1.8697,B
1366,-1.0195,A
1367,-0.4628,B
1368,1.3679,C
1369,1.3447,B
1370,-0.0659,B
1371,-0.5897,C
1372,0.2114,A
1373,0.4292,B
1374,-0.3373,C
1375,0.4526,C
1376,0.4135,B
1377,0.2158,C
1378,-0.3807,C
1379,0.6589,B
1380,-1.0944,C
1381,1.5758,B
1382,1.692,B
1383,0.4166,A
1384,-0.607,A
1385,-0.0917,B
1386,-0.9774,B
1387,-0.48,C
1388,1.3394,A
1389,1.709,C
1390,-0.8131,B
1391,1.345,A
1392,1.6422,C
1393,-0.0816,A
1394,-0.489,A
1395,1.6212,B
1396,-0.4376,C
1397,0.8208,C
1398,-0.0758,B
1399,-0.004,A
1400,-0.5789,B
1401,0.218,C
1402,0.0601,B
1403,0.1945,A
1404,-1.2581,A
1405,1.4382,B
1406,0.7583,B
1407,-1.2723,C
1408,0.354,A
1409,-1.5291,A
1410,0.6709,B
1411,0.1859,B
1412,-0.3609,A
1413,1.2384,C
1414,0.276,B
1415,-1.0469,A
1416,-1.0715,A
1417,-1.1705,A
1418,-0.8183,B
1419,1.095,B
1420,0.7914,B
1421,0.9852,B
1422,-0.8622,A
1423,0.4636,A
1424,0.1949,B
1425,2.0877,A
1426,1.3358,C
1427,0.303,A
1428,1.1427,B
1429,-0.6033,A
1430,0.5296,C
1431,1.4301,B
1432,0.9231,A
1433,1.6755,C
1434,1.1365,A
1435,2.1752,C
1436,0.5734,B
1437,-0.6026,C
1438,0.4066,C
1439,-0.63,A
1440,-1.1453,A
1441,0.4162,B
1442,1.4311,A
